fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-07-18,0,23,12,15,7,76,101,37,30,24,10,8,1,3,4,5,0,0,1,0,0
2016-07-19,0,22,13,17,4,75,97,28,46,38,9,8,2,1,2,3,0,0,1,0,0
2016-07-20,0,14,16,16,7,84,122,24,47,19,8,9,2,5,1,4,0,0,0,0,0
2016-07-21,0,21,10,14,6,89,99,26,41,30,7,5,1,2,2,3,0,1,4,2,0
2016-07-22,0,24,11,13,11,85,91,19,45,19,7,3,0,1,2,2,0,0,1,0,0
2016-07-23,0,29,15,14,6,80,104,23,59,28,9,5,4,2,3,2,0,0,2,0,0
2016-07-24,0,24,11,14,6,71,119,21,34,21,8,6,2,3,0,4,0,0,1,0,0
2016-07-25,0,25,17,15,7,81,90,13,44,17,7,5,3,1,0,6,0,0,1,1,0
2016-07-26,0,20,10,10,9,73,91,22,47,17,7,7,2,3,0,3,0,0,4,1,0
2016-07-27,0,21,8,11,5,82,90,19,45,25,8,5,3,0,2,6,0,0,1,0,0
2016-07-28,0,15,6,17,7,92,83,22,34,22,5,7,2,4,3,3,0,0,1,0,0
2016-07-29,0,15,11,14,6,79,88,25,41,18,9,6,2,2,1,5,0,0,3,2,0
2016-07-30,0,17,10,9,6,71,85,21,39,24,5,10,2,2,3,2,0,0,5,0,0
2016-07-31,0,32,12,12,7,72,107,27,35,19,15,8,1,0,2,2,0,0,2,0,0
2016-08-01,0,21,12,10,5,90,81,15,38,26,7,5,1,1,3,1,0,0,1,0,0
2016-08-02,0,12,12,9,6,94,74,18,34,18,6,5,0,4,2,0,0,0,2,0,0
2016-08-03,0,10,12,16,7,93,106,20,39,15,11,9,2,3,2,2,0,0,1,0,0
2016-08-04,0,13,11,10,2,62,74,13,41,26,7,8,3,1,1,1,0,0,0,0,0
2016-08-05,0,19,13,16,7,88,85,20,43,31,9,5,2,2,3,1,0,0,3,0,0
2016-08-06,0,25,9,12,7,77,99,23,27,26,7,7,2,0,1,3,0,0,3,0,0
2016-08-07,0,19,9,14,3,73,85,23,36,27,13,7,2,4,6,1,0,0,1,0,0
2016-08-08,0,30,11,17,5,69,95,21,45,16,9,10,1,1,3,3,0,0,0,0,0
2016-08-09,0,13,3,13,4,80,90,22,29,18,6,12,0,1,3,2,0,0,1,1,0
2016-08-10,0,19,8,9,4,89,88,19,48,21,8,5,4,1,1,1,0,0,0,0,0
2016-08-11,0,24,4,8,4,70,81,24,32,19,6,7,1,4,4,1,0,0,5,0,0
2016-08-12,0,19,12,15,6,80,91,16,36,23,9,9,0,5,2,1,0,0,1,0,0
2016-08-13,0,30,8,11,7,89,77,17,31,25,7,11,1,1,2,3,0,0,0,0,0
2016-08-14,0,23,6,13,2,80,69,25,39,24,9,5,3,0,1,2,0,0,3,0,0
2016-08-15,0,21,11,12,3,64,90,18,43,18,3,7,1,1,0,3,0,0,1,0,0
2016-08-16,0,20,13,13,3,77,88,27,51,23,10,8,0,0,5,2,0,0,3,1,0
2016-08-17,0,27,11,10,6,82,80,13,36,24,11,9,2,3,2,6,0,0,1,0,0
2016-08-18,0,22,13,12,6,60,87,25,34,21,5,4,1,2,4,4,0,0,2,1,0
2016-08-19,0,20,7,14,6,72,80,17,45,26,10,10,1,3,0,1,0,0,3,0,0
2016-08-20,0,18,14,11,10,78,69,19,31,19,10,5,1,0,2,5,0,0,3,1,0
2016-08-21,0,27,14,16,3,70,90,16,42,24,11,6,0,2,2,5,0,0,1,0,0
2016-08-22,0,28,12,17,10,73,85,17,38,20,11,8,1,0,2,3,0,0,4,0,0
2016-08-23,0,11,8,10,5,77,101,19,35,21,7,6,2,2,3,2,0,0,1,0,0
2016-08-24,0,17,10,13,3,77,66,22,32,28,6,9,4,1,2,1,0,0,3,0,0
2016-08-25,0,17,9,9,7,78,93,22,37,24,4,8,1,4,3,4,0,0,3,0,0
2016-08-26,0,16,9,9,5,62,84,21,25,14,10,4,2,1,5,5,0,0,2,0,0
2016-08-27,0,20,7,7,3,80,79,20,27,16,3,6,2,0,3,3,0,0,2,0,0
