fecha,Enfermedades del sistema circulatorio ,COVID-19,Enfermedades del sistema respiratorio ,Enfermedades del sistema nervioso central,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema genitourinario,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas","Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del oÃ­do y de la apÃ³fisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",CÃ³digos para propÃ³sitos especiales
2016-05-01,91,0,22,14,16,5,22,83,8,5,4,9,2,3,1,0,0,1,4,1,0
2016-05-02,68,0,26,5,20,14,16,73,15,5,6,7,2,1,2,1,0,0,4,0,0
2016-05-03,81,0,15,16,26,9,28,94,18,9,10,9,0,0,2,2,0,0,2,0,0
2016-05-04,82,0,14,8,22,8,14,71,11,5,8,10,0,1,1,1,0,0,2,1,0
2016-05-05,71,0,24,11,19,5,7,62,10,12,9,4,2,3,5,0,0,0,5,1,0
2016-05-06,60,0,20,12,18,8,11,79,16,9,12,4,2,0,1,2,0,0,0,0,0
2016-05-07,77,0,13,10,18,2,25,78,10,4,7,7,1,2,0,0,0,0,0,0,0
2016-05-08,67,0,23,8,20,7,23,84,15,8,10,5,5,1,2,1,0,0,3,0,0
2016-05-09,79,0,32,13,23,0,23,66,17,7,10,6,1,2,3,1,0,0,1,0,0
2016-05-10,81,0,26,9,22,2,24,89,20,12,7,7,1,0,1,3,0,0,2,0,0
2016-05-11,61,0,19,10,21,4,17,80,14,4,8,5,1,3,2,0,0,0,1,0,0
2016-05-12,55,0,30,9,20,4,19,75,11,8,8,7,1,0,3,1,0,0,2,0,0
2016-05-13,73,0,20,8,23,9,19,81,16,9,11,5,3,0,4,4,0,0,2,0,0
2016-05-14,87,0,30,5,13,3,19,81,18,9,8,8,3,1,3,0,0,0,2,0,0
2016-05-15,71,0,25,14,21,6,29,78,15,9,7,5,3,3,2,3,0,0,4,0,0
2016-05-16,73,0,24,10,25,2,14,80,11,6,14,6,2,1,4,1,0,0,1,0,0
2016-05-17,73,0,16,11,24,2,19,71,16,10,5,8,3,2,1,3,0,0,2,0,0
2016-05-18,82,0,23,8,25,5,16,76,19,12,11,5,3,3,2,3,0,0,3,0,0
2016-05-19,77,0,25,12,19,5,17,78,18,6,11,7,3,1,2,6,0,0,1,0,0
2016-05-20,73,0,24,8,22,1,19,84,17,4,8,5,2,1,4,3,0,0,3,0,0
2016-05-21,75,0,37,10,25,3,18,71,15,8,11,4,8,0,3,3,0,0,1,0,0
2016-05-22,71,0,19,10,17,8,14,78,20,5,5,5,5,2,0,1,0,0,1,0,0
2016-05-23,86,0,25,12,29,4,13,80,15,7,10,6,0,0,6,4,0,0,6,0,0
2016-05-24,75,0,10,9,19,5,20,82,15,4,8,11,1,2,2,3,0,0,1,0,0
2016-05-25,77,0,25,14,27,2,16,88,24,4,10,7,2,3,4,4,0,0,1,0,0
2016-05-26,70,0,26,4,15,3,25,77,22,13,11,6,5,2,2,1,0,0,0,0,0
2016-05-27,75,0,26,8,16,3,20,78,12,10,9,3,2,1,3,5,0,0,4,0,0
2016-05-28,94,0,25,12,21,7,14,76,17,9,7,7,2,1,1,1,0,0,4,0,0
2016-05-29,84,0,31,13,31,5,20,67,19,14,7,6,2,3,6,2,0,0,2,0,0
2016-05-30,82,0,27,12,34,6,21,85,12,8,12,5,5,1,1,0,0,0,2,0,0
2016-05-31,77,0,26,11,18,7,13,90,12,5,12,8,0,0,4,3,0,0,4,0,0
2016-06-01,80,0,34,9,27,4,15,71,14,8,9,6,0,0,7,2,0,0,3,0,0
2016-06-02,80,0,22,11,14,3,16,91,16,7,10,2,1,0,4,1,0,0,4,0,0
2016-06-03,81,0,32,13,26,5,14,71,16,6,9,3,2,0,3,2,0,0,0,0,0
2016-06-04,84,0,18,9,25,7,25,65,17,8,6,6,0,0,2,3,0,0,4,0,0
2016-06-05,90,0,23,11,13,2,27,73,16,8,10,3,1,0,3,3,0,0,1,1,0
2016-06-06,78,0,35,8,19,6,20,74,25,7,8,2,0,1,1,0,0,0,1,0,0
2016-06-07,101,0,27,10,29,6,16,69,16,11,8,5,1,0,4,1,0,0,3,0,0
2016-06-08,89,0,24,7,20,9,17,68,26,16,10,8,1,0,1,0,0,0,3,0,0
2016-06-09,88,0,26,16,26,5,24,88,18,11,16,11,2,1,4,1,0,0,4,0,0
2016-06-10,77,0,33,7,20,8,28,69,31,8,8,10,3,1,1,0,0,0,2,1,0
2016-06-11,69,0,33,13,21,7,28,85,19,13,10,9,4,0,1,0,0,0,1,0,0
2016-06-12,104,0,31,12,18,5,19,84,15,7,11,6,2,1,3,2,0,0,4,0,0
2016-06-13,101,0,37,10,17,10,25,75,20,6,16,6,1,0,1,2,0,1,2,0,0
2016-06-14,82,0,23,13,21,4,15,80,23,7,18,4,1,1,3,1,0,0,5,0,0
2016-06-15,87,0,30,18,28,4,11,67,10,6,8,3,1,1,6,2,0,0,2,0,0
2016-06-16,72,0,32,14,24,10,17,94,16,13,13,7,1,0,3,1,0,0,3,0,0
2016-06-17,101,0,23,8,25,6,12,68,28,9,9,12,1,0,3,0,0,0,1,0,0
2016-06-18,86,0,33,10,20,3,32,66,19,5,6,6,4,2,8,0,0,0,4,0,0
2016-06-19,102,0,26,12,18,5,24,65,31,11,4,5,6,1,0,7,0,0,0,0,0
2016-06-20,86,0,31,10,27,6,14,69,26,8,9,7,3,3,3,2,0,0,0,0,0
2016-06-21,90,0,37,8,21,6,18,88,20,11,12,8,5,2,4,0,0,0,1,1,0
2016-06-22,104,0,47,15,29,6,25,81,17,5,12,7,3,2,7,5,0,0,2,0,0
2016-06-23,95,0,32,12,15,1,20,90,20,19,17,6,4,2,7,0,0,0,3,0,0
2016-06-24,83,0,35,10,23,8,22,82,16,11,11,7,1,0,4,2,0,0,5,0,0
2016-06-25,83,0,37,13,17,3,27,88,21,5,10,5,1,3,3,1,1,0,2,0,0
2016-06-26,110,0,45,10,26,5,29,83,17,10,7,6,2,0,4,0,0,0,1,0,0
2016-06-27,104,0,49,14,25,6,28,71,24,9,9,9,1,1,1,2,0,0,1,0,0
2016-06-28,85,0,40,9,22,8,27,82,23,12,9,5,1,2,3,0,0,0,2,0,0
2016-06-29,96,0,48,8,18,10,21,71,26,8,13,3,5,0,2,0,0,0,2,0,0
2016-06-30,95,0,37,11,25,3,19,78,27,10,9,3,2,1,2,0,0,0,4,1,0
2016-07-01,101,0,32,8,29,11,23,75,24,7,6,11,1,0,2,1,0,0,1,0,0
2016-07-02,108,0,44,16,26,10,20,86,19,9,9,5,1,2,4,0,0,0,4,1,0
2016-07-03,95,0,32,6,20,8,28,89,26,5,12,6,5,2,2,3,0,0,0,0,0
2016-07-04,99,0,37,14,19,10,29,71,22,12,12,5,1,0,3,1,0,0,1,0,0
2016-07-05,95,0,36,11,21,8,10,86,22,14,8,9,1,1,4,2,0,0,1,0,0
2016-07-06,111,0,26,13,15,11,19,57,19,14,14,8,2,5,5,0,0,0,0,0,0
2016-07-07,102,0,51,13,28,7,20,77,18,9,6,5,2,0,2,2,0,0,0,0,0
2016-07-08,98,0,43,11,33,5,25,77,23,7,6,4,3,2,4,1,0,0,4,0,0
2016-07-09,107,0,40,9,20,4,21,86,29,8,12,5,0,1,4,1,0,0,3,0,0
2016-07-10,106,0,50,15,20,6,27,74,31,6,7,7,3,3,1,2,0,0,2,0,0
2016-07-11,96,0,40,15,23,7,26,99,22,10,8,6,3,2,2,1,0,0,1,0,0
2016-07-12,125,0,34,7,24,6,12,67,26,10,13,6,0,3,4,3,0,0,0,1,0
2016-07-13,99,0,38,13,36,6,16,76,28,16,11,11,2,1,3,0,0,0,2,0,0
2016-07-14,111,0,34,13,18,7,37,79,23,5,9,5,0,2,2,0,0,0,1,0,0
2016-07-15,107,0,36,4,19,8,24,74,25,9,11,9,2,0,1,2,0,0,3,0,0
2016-07-16,107,0,36,13,26,8,25,92,16,12,9,6,4,2,2,3,0,0,2,0,0
2016-07-17,114,0,54,12,28,6,33,77,25,11,8,5,2,2,1,1,0,0,1,0,0
2016-07-18,101,0,30,15,24,7,23,76,37,10,12,8,4,1,5,3,0,0,1,0,0
2016-07-19,97,0,46,17,38,4,22,75,28,9,13,8,2,2,3,1,0,0,1,0,0
2016-07-20,122,0,47,16,19,7,14,84,24,8,16,9,1,2,4,5,0,0,0,0,0
2016-07-21,99,0,41,14,30,6,21,89,26,7,10,5,2,1,3,2,1,0,4,2,0
2016-07-22,91,0,45,13,19,11,24,85,19,7,11,3,2,0,2,1,0,0,1,0,0
2016-07-23,104,0,59,14,28,6,29,80,23,9,15,5,3,4,2,2,0,0,2,0,0
2016-07-24,119,0,34,14,21,6,24,71,21,8,11,6,0,2,4,3,0,0,1,0,0
2016-07-25,90,0,44,15,17,7,25,81,13,7,17,5,0,3,6,1,0,0,1,1,0
2016-07-26,91,0,47,10,17,9,20,73,22,7,10,7,0,2,3,3,0,0,4,1,0
2016-07-27,90,0,45,11,25,5,21,82,19,8,8,5,2,3,6,0,0,0,1,0,0
2016-07-28,83,0,34,17,22,7,15,92,22,5,6,7,3,2,3,4,0,0,1,0,0
2016-07-29,88,0,41,14,18,6,15,79,25,9,11,6,1,2,5,2,0,0,3,2,0
2016-07-30,85,0,39,9,24,6,17,71,21,5,10,10,3,2,2,2,0,0,5,0,0
